"Story","Title","Result","Date","Stability","Duration (s)"
"Cuenta y Cliente","Ingreso el nuevo usuario en la página","ERROR","2022-11-16T20:19:41.396-05:00[America/Bogota]","0.0","10.87"
"HU-001 Login","Ingreso el nuevo usuario en la página","SUCCESS","2022-11-16T22:19:37.53-05:00[America/Bogota]","0.0","36.35"
