"Story","Title","Result","Date","Stability","Duration (s)"
"Cuenta y Cliente","Como usuario ingreso los datos de la nueva cuenta","ERROR","2022-11-16T19:44:45.845-05:00[America/Bogota]","0.0","6.26"
"HU-001 Login","Como usuario ingreso los datos de la nueva cuenta","SUCCESS","2022-11-16T22:32:59.77-05:00[America/Bogota]","0.0","36.03"
