"Story","Title","Result","Date","Stability","Duration (s)"
"Cuenta y Cliente","Como usuario ingreso los datos de la nueva cuenta","ERROR","2022-11-16T19:44:45.845-05:00[America/Bogota]","0.0","6.26"
"Cuenta y Cliente","Ingreso el nuevo usuario en la página","ERROR","2022-11-16T20:19:41.396-05:00[America/Bogota]","0.0","10.87"
